claim_id,customer_id,vehicle_id,claim_amount,claim_date,claim_type
1,80,80,10000,2025-03-21,1
2,127,127,10000,2025-05-07,1
3,195,195,10000,2025-07-14,1
4,233,233,10000,2025-08-21,1
5,257,257,10000,2025-09-14,1
6,271,271,10000,2025-09-28,1
7,294,294,10000,2025-10-21,1
8,318,318,10000,2025-11-14,1
9,341,341,10000,2025-12-07,1
10,362,362,10000,2025-12-28,1
11,424,424,10000,2025-02-27,1
12,446,446,10000,2025-03-21,1
13,453,453,10000,2025-03-28,1
14,463,463,10000,2025-04-07,1
15,477,477,10000,2025-04-21,1
16,500,500,10000,2025-05-14,1
17,514,514,10000,2025-05-28,1
18,545,545,10000,2025-06-28,1
19,568,568,10000,2025-07-21,1
20,623,623,10000,2025-09-14,1
21,646,646,10000,2025-10-07,1
22,653,653,10000,2025-10-14,1
23,660,660,10000,2025-10-21,1
24,667,667,10000,2025-10-28,1
25,684,684,10000,2025-11-14,1
26,691,691,10000,2025-11-21,1
27,698,698,10000,2025-11-28,1
28,769,769,10000,2025-02-06,1
29,776,776,10000,2025-02-13,1
30,783,783,10000,2025-02-20,1
31,790,790,10000,2025-02-27,1
32,798,798,10000,2025-03-07,1
33,836,836,10000,2025-04-14,1
34,843,843,10000,2025-04-21,1
35,873,873,10000,2025-05-21,1
36,880,880,10000,2025-05-28,1
37,934,934,10000,2025-07-21,1
38,941,941,10000,2025-07-28,1
39,972,972,10000,2025-08-28,1
40,982,982,10000,2025-09-07,1
41,1050,1050,10000,2025-11-14,1
42,1073,1073,10000,2025-12-07,1
43,1080,1080,10000,2025-12-14,1
44,1111,1111,10000,2025-01-13,1
45,1118,1118,10000,2025-01-20,1
46,1135,1135,10000,2025-02-06,1
47,1178,1178,10000,2025-03-21,1
48,1185,1185,10000,2025-03-28,1
49,1239,1239,10000,2025-05-21,1
50,1246,1246,10000,2025-05-28,1
51,1256,1256,10000,2025-06-07,1
52,1263,1263,10000,2025-06-14,1
53,1355,1355,10000,2025-09-14,1
54,1362,1362,10000,2025-09-21,1
55,1399,1399,10000,2025-10-28,1
56,1430,1430,10000,2025-11-28,1
57,1439,1439,10000,2025-12-07,1
58,1453,1453,10000,2025-12-21,1
59,1470,1470,10000,2025-01-06,1
60,1575,1575,10000,2025-04-21,1
61,1622,1622,10000,2025-06-07,1
62,1690,1690,10000,2025-08-14,1
63,1697,1697,10000,2025-08-21,1
64,1714,1714,10000,2025-09-07,1
65,1728,1728,10000,2025-09-21,1
66,1744,1744,10000,2025-10-07,1
67,1765,1765,10000,2025-10-28,1
68,1805,1805,10000,2025-12-07,1
69,1812,1812,10000,2025-12-14,1
70,1826,1826,10000,2025-12-28,1
71,1881,1881,10000,2025-02-20,1
72,1903,1903,10000,2025-03-14,1
73,1917,1917,10000,2025-03-28,1
74,1927,1927,10000,2025-04-07,1
75,2002,2002,10000,2025-06-21,1
76,2039,2039,10000,2025-07-28,1
77,2063,2063,10000,2025-08-21,1
78,2117,2117,10000,2025-10-14,1
79,2162,2162,10000,2025-11-28,1
80,2171,2171,10000,2025-12-07,1
81,2202,2202,10000,2025-01-06,1
82,2240,2240,10000,2025-02-13,1
83,2254,2254,10000,2025-02-27,1
84,2269,2269,10000,2025-03-14,1
85,2276,2276,10000,2025-03-21,1
86,2300,2300,10000,2025-04-14,1
87,2323,2323,10000,2025-05-07,1
88,2330,2330,10000,2025-05-14,1
89,2354,2354,10000,2025-06-07,1
90,2375,2375,10000,2025-06-28,1
91,2422,2422,10000,2025-08-14,1
92,2436,2436,10000,2025-08-28,1
93,2467,2467,10000,2025-09-28,1
94,2476,2476,10000,2025-10-07,1
95,2490,2490,10000,2025-10-21,1
96,2507,2507,10000,2025-11-07,1
97,2514,2514,10000,2025-11-14,1
98,2528,2528,10000,2025-11-28,1
99,2537,2537,10000,2025-12-07,1
100,2544,2544,10000,2025-12-14,1
101,2575,2575,10000,2025-01-13,1
102,2582,2582,10000,2025-01-20,1
103,2666,2666,10000,2025-04-14,1
104,2764,2764,10000,2025-07-21,1
105,2771,2771,10000,2025-07-28,1
106,2795,2795,10000,2025-08-21,1
107,2826,2826,10000,2025-09-21,1
108,2863,2863,10000,2025-10-28,1
109,2873,2873,10000,2025-11-07,1
110,2887,2887,10000,2025-11-21,1
111,2903,2903,10000,2025-12-07,1
112,2917,2917,10000,2025-12-21,1
113,2924,2924,10000,2025-12-28,1
114,2934,2934,10000,2025-01-06,1
115,2994,2994,10000,2025-03-07,1
116,3076,3076,10000,2025-05-28,1
117,3100,3100,10000,2025-06-21,1
118,3107,3107,10000,2025-06-28,1
119,3168,3168,10000,2025-08-28,1
120,3222,3222,10000,2025-10-21,1
121,3276,3276,10000,2025-12-14,1
122,3331,3331,10000,2025-02-06,1
123,3338,3338,10000,2025-02-13,1
124,3381,3381,10000,2025-03-28,1
125,3428,3428,10000,2025-05-14,1
126,3435,3435,10000,2025-05-21,1
127,3482,3482,10000,2025-07-07,1
128,3496,3496,10000,2025-07-21,1
129,3520,3520,10000,2025-08-14,1
130,3612,3612,10000,2025-11-14,1
131,3666,3666,10000,2025-01-06,1
132,3673,3673,10000,2025-01-13,1
133,3680,3680,10000,2025-01-20,1
134,3704,3704,10000,2025-02-13,1
135,3764,3764,10000,2025-04-14,1
136,3794,3794,10000,2025-05-14,1
137,3893,3893,10000,2025-08-21,1
138,3900,3900,10000,2025-08-28,1
139,3931,3931,10000,2025-09-28,1
140,3940,3940,10000,2025-10-07,1
141,3961,3961,10000,2025-10-28,1
142,3985,3985,10000,2025-11-21,1
143,3992,3992,10000,2025-11-28,1
144,4015,4015,10000,2025-12-21,1
145,4022,4022,10000,2025-12-28,1
146,4039,4039,10000,2025-01-13,1
147,4063,4063,10000,2025-02-06,1
148,4084,4084,10000,2025-02-27,1
149,4092,4092,10000,2025-03-07,1
150,4123,4123,10000,2025-04-07,1
151,4160,4160,10000,2025-05-14,1
152,4198,4198,10000,2025-06-21,1
153,4228,4228,10000,2025-07-21,1
154,4235,4235,10000,2025-07-28,1
155,4252,4252,10000,2025-08-14,1
156,4259,4259,10000,2025-08-21,1
157,4276,4276,10000,2025-09-07,1
158,4297,4297,10000,2025-09-28,1
159,4313,4313,10000,2025-10-14,1
160,4320,4320,10000,2025-10-21,1
161,4381,4381,10000,2025-12-21,1
162,4388,4388,10000,2025-12-28,1
163,4398,4398,10000,2025-01-06,1
164,4412,4412,10000,2025-01-20,1
165,4429,4429,10000,2025-02-06,1
166,4450,4450,10000,2025-02-27,1
167,4458,4458,10000,2025-03-07,1
168,4479,4479,10000,2025-03-28,1
169,4503,4503,10000,2025-04-21,1
170,4510,4510,10000,2025-04-28,1
171,4526,4526,10000,2025-05-14,1
172,4557,4557,10000,2025-06-14,1
173,4564,4564,10000,2025-06-21,1
174,4571,4571,10000,2025-06-28,1
175,4580,4580,10000,2025-07-07,1
176,4601,4601,10000,2025-07-28,1
177,4611,4611,10000,2025-08-07,1
178,4618,4618,10000,2025-08-14,1
179,4656,4656,10000,2025-09-21,1
180,4693,4693,10000,2025-10-28,1
181,4717,4717,10000,2025-11-21,1
182,4733,4733,10000,2025-12-07,1
183,4778,4778,10000,2025-01-20,1
184,4795,4795,10000,2025-02-06,1
185,4816,4816,10000,2025-02-27,1
186,4831,4831,10000,2025-03-14,1
187,4885,4885,10000,2025-05-07,1
188,4899,4899,10000,2025-05-21,1
189,4946,4946,10000,2025-07-07,1
190,4977,4977,10000,2025-08-07,1
191,4991,4991,10000,2025-08-21,1
192,4998,4998,10000,2025-08-28,1
193,5022,5022,10000,2025-09-21,1
194,5038,5038,10000,2025-10-07,1
195,5045,5045,10000,2025-10-14,1
196,5059,5059,10000,2025-10-28,1
197,5083,5083,10000,2025-11-21,1
198,5090,5090,10000,2025-11-28,1
199,5106,5106,10000,2025-12-14,1
200,5144,5144,10000,2025-01-20,1
201,5168,5168,10000,2025-02-13,1
202,5211,5211,10000,2025-03-28,1
203,5242,5242,10000,2025-04-28,1
204,5265,5265,10000,2025-05-21,1
205,5272,5272,10000,2025-05-28,1
206,5319,5319,10000,2025-07-14,1
207,5333,5333,10000,2025-07-28,1
208,5381,5381,10000,2025-09-14,1
209,5388,5388,10000,2025-09-21,1
210,5395,5395,10000,2025-09-28,1
211,5411,5411,10000,2025-10-14,1
212,5418,5418,10000,2025-10-21,1
213,5465,5465,10000,2025-12-07,1
214,5472,5472,10000,2025-12-14,1
215,5503,5503,10000,2025-01-13,1
216,5510,5510,10000,2025-01-20,1
217,5517,5517,10000,2025-01-27,1
218,5638,5638,10000,2025-05-28,1
219,5648,5648,10000,2025-06-07,1
220,5678,5678,10000,2025-07-07,1
221,5685,5685,10000,2025-07-14,1
222,5692,5692,10000,2025-07-21,1
223,5699,5699,10000,2025-07-28,1
224,5709,5709,10000,2025-08-07,1
225,5730,5730,10000,2025-08-28,1
226,5740,5740,10000,2025-09-07,1
227,5770,5770,10000,2025-10-07,1
228,5784,5784,10000,2025-10-21,1
229,5831,5831,10000,2025-12-07,1
230,5845,5845,10000,2025-12-21,1
231,5883,5883,10000,2025-01-27,1
232,5907,5907,10000,2025-02-20,1
233,5936,5936,10000,2025-03-21,1
234,5943,5943,10000,2025-03-28,1
235,5953,5953,10000,2025-04-07,1
236,5960,5960,10000,2025-04-14,1
237,6014,6014,10000,2025-06-07,1
238,6044,6044,10000,2025-07-07,1
239,6051,6051,10000,2025-07-14,1
240,6065,6065,10000,2025-07-28,1
241,6082,6082,10000,2025-08-14,1
242,6113,6113,10000,2025-09-14,1
243,6127,6127,10000,2025-09-28,1
244,6157,6157,10000,2025-10-28,1
245,6197,6197,10000,2025-12-07,1
246,6204,6204,10000,2025-12-14,1
247,6211,6211,10000,2025-12-21,1
248,6228,6228,10000,2025-01-06,1
249,6249,6249,10000,2025-01-27,1
250,6259,6259,10000,2025-02-06,1
251,6273,6273,10000,2025-02-20,1
252,6280,6280,10000,2025-02-27,1
253,6319,6319,10000,2025-04-07,1
254,6349,6349,10000,2025-05-07,1
255,6394,6394,10000,2025-06-21,1
256,6417,6417,10000,2025-07-14,1
257,6431,6431,10000,2025-07-28,1
258,6441,6441,10000,2025-08-07,1
259,6455,6455,10000,2025-08-21,1
260,6472,6472,10000,2025-09-07,1
261,6509,6509,10000,2025-10-14,1
262,6533,6533,10000,2025-11-07,1
263,6540,6540,10000,2025-11-14,1
264,6547,6547,10000,2025-11-21,1
265,6577,6577,10000,2025-12-21,1
266,6584,6584,10000,2025-12-28,1
267,6594,6594,10000,2025-01-06,1
268,6608,6608,10000,2025-01-20,1
269,6646,6646,10000,2025-02-27,1
270,6654,6654,10000,2025-03-07,1
271,6661,6661,10000,2025-03-14,1
272,6715,6715,10000,2025-05-07,1
273,6722,6722,10000,2025-05-14,1
274,6736,6736,10000,2025-05-28,1
275,6767,6767,10000,2025-06-28,1
276,6814,6814,10000,2025-08-14,1
277,6882,6882,10000,2025-10-21,1
278,6913,6913,10000,2025-11-21,1
279,6920,6920,10000,2025-11-28,1
280,6943,6943,10000,2025-12-21,1
281,6974,6974,10000,2025-01-20,1
282,6991,6991,10000,2025-02-06,1
283,7012,7012,10000,2025-02-27,1
284,7065,7065,10000,2025-04-21,1
285,7072,7072,10000,2025-04-28,1
286,7102,7102,10000,2025-05-28,1
287,7112,7112,10000,2025-06-07,1
288,7126,7126,10000,2025-06-21,1
289,7187,7187,10000,2025-08-21,1
290,7211,7211,10000,2025-09-14,1
291,7218,7218,10000,2025-09-21,1
292,7234,7234,10000,2025-10-07,1
293,7248,7248,10000,2025-10-21,1
294,7295,7295,10000,2025-12-07,1
295,7333,7333,10000,2025-01-13,1
296,7357,7357,10000,2025-02-06,1
297,7407,7407,10000,2025-03-28,1
298,7417,7417,10000,2025-04-07,1
299,7438,7438,10000,2025-04-28,1
300,7447,7447,10000,2025-05-07,1
301,7454,7454,10000,2025-05-14,1
302,7468,7468,10000,2025-05-28,1
303,7508,7508,10000,2025-07-07,1
304,7529,7529,10000,2025-07-28,1
305,7539,7539,10000,2025-08-07,1
306,7553,7553,10000,2025-08-21,1
307,7591,7591,10000,2025-09-28,1
308,7614,7614,10000,2025-10-21,1
309,7675,7675,10000,2025-12-21,1
310,7752,7752,10000,2025-03-07,1
311,7783,7783,10000,2025-04-07,1
312,7804,7804,10000,2025-04-28,1
313,7827,7827,10000,2025-05-21,1
314,7895,7895,10000,2025-07-28,1
315,7919,7919,10000,2025-08-21,1
316,7936,7936,10000,2025-09-07,1
317,7966,7966,10000,2025-10-07,1
318,7973,7973,10000,2025-10-14,1
319,7987,7987,10000,2025-10-28,1
320,7997,7997,10000,2025-11-07,1
321,8027,8027,10000,2025-12-07,1
322,8034,8034,10000,2025-12-14,1
323,8041,8041,10000,2025-12-21,1
324,8065,8065,10000,2025-01-13,1
325,8096,8096,10000,2025-02-13,1
326,8103,8103,10000,2025-02-20,1
327,8139,8139,10000,2025-03-28,1
328,8186,8186,10000,2025-05-14,1
329,8200,8200,10000,2025-05-28,1
330,8240,8240,10000,2025-07-07,1
331,8254,8254,10000,2025-07-21,1
332,8285,8285,10000,2025-08-21,1
333,8292,8292,10000,2025-08-28,1
334,8316,8316,10000,2025-09-21,1
335,8339,8339,10000,2025-10-14,1
336,8377,8377,10000,2025-11-21,1
337,8393,8393,10000,2025-12-07,1
338,8469,8469,10000,2025-02-20,1
339,8484,8484,10000,2025-03-07,1
340,8522,8522,10000,2025-04-14,1
341,8552,8552,10000,2025-05-14,1
342,8583,8583,10000,2025-06-14,1
343,8597,8597,10000,2025-06-28,1
344,8620,8620,10000,2025-07-21,1
345,8668,8668,10000,2025-09-07,1
346,8682,8682,10000,2025-09-21,1
347,8729,8729,10000,2025-11-07,1
348,8780,8780,10000,2025-12-28,1
349,8797,8797,10000,2025-01-13,1
350,8828,8828,10000,2025-02-13,1
351,8850,8850,10000,2025-03-07,1
352,8871,8871,10000,2025-03-28,1
353,8881,8881,10000,2025-04-07,1
354,8888,8888,10000,2025-04-14,1
355,8918,8918,10000,2025-05-14,1
356,8925,8925,10000,2025-05-21,1
357,8949,8949,10000,2025-06-14,1
358,8979,8979,10000,2025-07-14,1
359,9017,9017,10000,2025-08-21,1
